time,price_ADA-PERP,price_BTC-PERP,price_ETH-PERP
2021-10-04T17:00:00.000000,2.211685,49339.0,3414.8
2021-10-04T18:00:00.000000,2.211755,49348.0,3423.8
2021-10-04T19:00:00.000000,2.204435,49411.0,3419.0
2021-10-04T20:00:00.000000,2.18256,49041.0,3385.1
2021-10-04T21:00:00.000000,2.18841,48967.0,3399.0
2021-10-04T22:00:00.000000,2.180495,48929.0,3374.2
2021-10-04T23:00:00.000000,2.192175,49250.0,3387.5
2021-10-05T00:00:00.000000,2.213,49551.0,3407.4
2021-10-05T01:00:00.000000,2.198655,49262.0,3387.7
2021-10-05T02:00:00.000000,2.204035,49339.0,3391.3
2021-10-05T03:00:00.000000,2.219515,49312.0,3388.7
2021-10-05T04:00:00.000000,2.20221,49182.0,3369.3
2021-10-05T05:00:00.000000,2.216475,49342.0,3385.3
2021-10-05T06:00:00.000000,2.212045,49313.0,3384.9
2021-10-05T07:00:00.000000,2.214205,49500.0,3389.9
2021-10-05T08:00:00.000000,2.22165,49952.0,3419.7
2021-10-05T09:00:00.000000,2.241,50300.0,3452.7
2021-10-05T10:00:00.000000,2.22976,50030.0,3439.8
2021-10-05T11:00:00.000000,2.22508,49916.0,3448.4
2021-10-05T12:00:00.000000,2.217425,49995.0,3455.0
2021-10-05T13:00:00.000000,2.22693,50256.0,3459.9
2021-10-05T14:00:00.000000,2.190715,49857.0,3432.4
2021-10-05T15:00:00.000000,2.18847,49800.0,3420.8
2021-10-05T16:00:00.000000,2.19988,50133.0,3436.6
2021-10-05T17:00:00.000000,2.19928,50172.0,3436.4
2021-10-05T18:00:00.000000,2.21028,50647.0,3460.4
2021-10-05T19:00:00.000000,2.226935,51220.0,3493.0
2021-10-05T20:00:00.000000,2.236655,51512.0,3526.4
2021-10-05T21:00:00.000000,2.2449,51779.0,3540.7
2021-10-05T22:00:00.000000,2.228005,51385.0,3513.9
2021-10-05T23:00:00.000000,2.234365,51502.0,3517.8
2021-10-06T00:00:00.000000,2.22503,51374.0,3527.1
2021-10-06T01:00:00.000000,2.215185,51315.0,3496.1
2021-10-06T02:00:00.000000,2.2252,51587.0,3504.8
2021-10-06T03:00:00.000000,2.210985,51561.0,3489.3
2021-10-06T04:00:00.000000,2.20735,51351.0,3475.2
2021-10-06T05:00:00.000000,2.207345,51559.0,3495.0
2021-10-06T06:00:00.000000,2.2029,51574.0,3491.7
2021-10-06T07:00:00.000000,2.185485,51482.0,3457.1
2021-10-06T08:00:00.000000,2.138745,50747.0,3381.2
2021-10-06T09:00:00.000000,2.13024,50752.0,3364.2
2021-10-06T10:00:00.000000,2.14557,51200.0,3376.6
2021-10-06T11:00:00.000000,2.13261,51354.0,3382.8
2021-10-06T12:00:00.000000,2.16512,52768.0,3459.0
2021-10-06T13:00:00.000000,2.212115,54050.0,3583.2
2021-10-06T14:00:00.000000,2.23706,54536.0,3602.0
2021-10-06T15:00:00.000000,2.235425,55040.0,3617.5
2021-10-06T16:00:00.000000,2.241725,54928.0,3600.5
2021-10-06T17:00:00.000000,2.22345,54615.0,3580.5
2021-10-06T18:00:00.000000,2.23321,54586.0,3585.9
2021-10-06T19:00:00.000000,2.23857,55107.0,3591.3
2021-10-06T20:00:00.000000,2.21947,54969.0,3563.5
2021-10-06T21:00:00.000000,2.215885,55110.0,3586.8
2021-10-06T22:00:00.000000,2.21321,55194.0,3590.2
2021-10-06T23:00:00.000000,2.21102,55347.0,3576.5
2021-10-07T00:00:00.000000,2.190725,54860.0,3541.8
2021-10-07T01:00:00.000000,2.172815,54809.0,3518.0
2021-10-07T02:00:00.000000,2.172025,55110.0,3534.2
2021-10-07T03:00:00.000000,2.164065,54844.0,3521.6
2021-10-07T04:00:00.000000,2.19246,55121.0,3544.6
2021-10-07T05:00:00.000000,2.196055,54779.0,3541.6
2021-10-07T06:00:00.000000,2.1866,54592.0,3532.2
2021-10-07T07:00:00.000000,2.249505,54821.0,3617.2
2021-10-07T08:00:00.000000,2.34405,54589.0,3592.4
2021-10-07T09:00:00.000000,2.32205,54386.0,3568.7
2021-10-07T10:00:00.000000,2.29839,53987.0,3554.6
2021-10-07T11:00:00.000000,2.32835,54358.0,3578.6
2021-10-07T12:00:00.000000,2.304545,54045.0,3571.8
2021-10-07T13:00:00.000000,2.31832,54628.0,3635.5
2021-10-07T14:00:00.000000,2.2729,53842.0,3562.6
2021-10-07T15:00:00.000000,2.289255,53970.0,3587.9
2021-10-07T16:00:00.000000,2.293725,54202.0,3598.3
2021-10-07T17:00:00.000000,2.29932,54231.0,3612.6
